"siteId","siteLabel","microsite","depth","rep","percentRPC"
1,"Ro 20W2","open","0-5cm",1,0.169811271567892
1,"Ro 20W2","open","0-5cm",2,0.177314932031636
1,"Ro 20W2","open","0-5cm",3,0.221935881836428
1,"Ro 20W2","open","6-15cm",1,0.150418130336514
1,"Ro 20W2","open","6-15cm",2,0.162777216481855
1,"Ro 20W2","open","6-15cm",3,0.143686178973717
1,"Ro 20W2","smooth","0-5cm",1,0.291291611662531
1,"Ro 20W2","smooth","0-5cm",2,0.216459946034137
1,"Ro 20W2","smooth","0-5cm",3,0.386821562342886
1,"Ro 20W2","smooth","6-15cm",1,0.22936545782533
1,"Ro 20W2","smooth","6-15cm",2,0.183641321723879
1,"Ro 20W2","smooth","6-15cm",3,0.214653362667328
1,"Ro 20W2","rough","0-5cm",1,0.208880301996462
1,"Ro 20W2","rough","0-5cm",2,0.216437054640719
1,"Ro 20W2","rough","0-5cm",3,0.220413912013958
1,"Ro 20W2","rough","6-15cm",1,0.22458519429725
1,"Ro 20W2","rough","6-15cm",2,0.2320597890664
1,"Ro 20W2","rough","6-15cm",3,0.238892678883072
2,"Scol 5W","open","0-5cm",1,1.33653473970179
2,"Scol 5W","open","0-5cm",2,0.679035921641791
2,"Scol 5W","open","0-5cm",3,0.717222245741483
2,"Scol 5W","open","6-15cm",1,0.373784297962227
2,"Scol 5W","open","6-15cm",2,0.392218044952285
2,"Scol 5W","open","6-15cm",3,0.485436465838509
2,"Scol 5W","smooth","0-5cm",1,0.303573636025768
2,"Scol 5W","smooth","0-5cm",2,0.400781523679643
2,"Scol 5W","smooth","0-5cm",3,0.389612037222083
2,"Scol 5W","smooth","6-15cm",1,0.23978266224004
2,"Scol 5W","smooth","6-15cm",2,0.290379532185629
2,"Scol 5W","smooth","6-15cm",3,0.251625103509215
2,"Scol 5W","rough","0-5cm",1,0.976932776115682
2,"Scol 5W","rough","0-5cm",2,0.574767341220423
2,"Scol 5W","rough","0-5cm",3,0.496221354942871
2,"Scol 5W","rough","6-15cm",1,0.46358092032967
2,"Scol 5W","rough","6-15cm",2,0.430566470074813
2,"Scol 5W","rough","6-15cm",3,0.303841927213607
3,"Fal 10pb","open","0-5cm",1,0.294993607323232
3,"Fal 10pb","open","0-5cm",2,0.21360354061554
3,"Fal 10pb","open","0-5cm",3,0.214067991150442
3,"Fal 10pb","open","6-15cm",1,0.158602491319444
3,"Fal 10pb","open","6-15cm",2,0.215826373037628
3,"Fal 10pb","open","6-15cm",3,0.156404622898121
3,"Fal 10pb","smooth","0-5cm",1,0.449598641006477
3,"Fal 10pb","smooth","0-5cm",2,0.483154013306553
