"siteId","siteLabel","microsite","depth","rep","percentC","percentN"
1,"Ro 20W2","open","0-5cm",1,2.36431362692989,0.0558237155150595
1,"Ro 20W2","open","0-5cm",2,2.5657109980139,0.0672250744786495
1,"Ro 20W2","open","0-5cm",3,2.42265759818731,0.0627264602215509
1,"Ro 20W2","open","6-15cm",1,1.92487009471585,0.0529558823529412
1,"Ro 20W2","open","6-15cm",2,1.91219983586173,0.0521026361601592
1,"Ro 20W2","open","6-15cm",3,2.4996615700842,0.0628104507181773
1,"Ro 20W2","smooth","0-5cm",1,4.07156043928301,0.101227568795759
1,"Ro 20W2","smooth","0-5cm",2,4.81573412381428,0.119312231652521
1,"Ro 20W2","smooth","0-5cm",3,3.04781690632911,0.075356253164557
1,"Ro 20W2","smooth","6-15cm",1,2.01251136650669,0.0519557211417024
1,"Ro 20W2","smooth","6-15cm",2,2.44010715281234,0.0627910403185665
1,"Ro 20W2","smooth","6-15cm",3,2.18928864689758,0.0619193620732619
1,"Ro 20W2","rough","0-5cm",1,3.11246370837538,0.0806196266397578
1,"Ro 20W2","rough","0-5cm",2,2.58802111447302,0.0638546142208775
1,"Ro 20W2","rough","0-5cm",3,3.30794602691924,0.0882064307078764
1,"Ro 20W2","rough","6-15cm",1,1.82366302470676,0.057421886698278
1,"Ro 20W2","rough","6-15cm",2,1.91500924725823,0.06088963110668
1,"Ro 20W2","rough","6-15cm",3,2.33655873699851,0.0722507677067855
2,"Scol 5W","open","0-5cm",1,8.91306695565021,0.214535329491356
2,"Scol 5W","open","0-5cm",2,5.77969942531583,0.155080753034432
2,"Scol 5W","open","0-5cm",3,7.5423206222001,0.193644723743156
2,"Scol 5W","open","6-15cm",1,4.16277206133736,0.10680811965812
2,"Scol 5W","open","6-15cm",2,4.37912739119497,0.111036377358491
2,"Scol 5W","open","6-15cm",3,5.49629957521239,0.135243378310845
2,"Scol 5W","smooth","0-5cm",1,4.45546990807453,0.144604322981366
2,"Scol 5W","smooth","0-5cm",2,3.5911221773175,0.115023667592826
2,"Scol 5W","smooth","0-5cm",3,4.30330252662869,0.137588233837008
2,"Scol 5W","smooth","6-15cm",1,2.02816132293763,0.0600028169014084
2,"Scol 5W","smooth","6-15cm",2,1.69863425612528,0.0497651932306138
2,"Scol 5W","smooth","6-15cm",3,1.68277918531556,0.0462091274830274
2,"Scol 5W","rough","0-5cm",1,3.16674764174611,0.0887578775715002
2,"Scol 5W","rough","0-5cm",2,4.48007798433948,0.114373730740086
2,"Scol 5W","rough","0-5cm",3,3.75015417576961,0.0998750248262165
2,"Scol 5W","rough","6-15cm",1,2.74828697709163,0.0695616533864542
2,"Scol 5W","rough","6-15cm",2,2.78435351228159,0.0710314510002532
2,"Scol 5W","rough","6-15cm",3,2.78540337726934,0.0703283760258642
3,"Fal 10pb","open","0-5cm",1,2.49093392469042,0.0781611827141774
3,"Fal 10pb","open","0-5cm",2,2.59360389393939,0.0795218434343434
3,"Fal 10pb","open","0-5cm",3,2.52844898441428,0.078467269984917
3,"Fal 10pb","open","6-15cm",1,1.50420854490718,0.0503844455594581
3,"Fal 10pb","open","6-15cm",2,1.67975621474518,0.0531286986640277
3,"Fal 10pb","open","6-15cm",3,1.55063651320755,0.0517226163522013
3,"Fal 10pb","smooth","0-5cm",1,4.73463749441826,0.115948027784669
3,"Fal 10pb","smooth","0-5cm",2,4.64454761145704,0.109574122042341
3,"Fal 10pb","smooth","0-5cm",3,5.33344400991326,0.123697992565056
3,"Fal 10pb","smooth","6-15cm",1,2.66778063787042,0.0610133098945254
3,"Fal 10pb","smooth","6-15cm",2,2.94756309964947,0.0682268402603906
3,"Fal 10pb","smooth","6-15cm",3,2.99020179351922,0.0501844009042954
3,"Fal 10pb","rough","0-5cm",1,3.66691437987421,0.0725088050314465
3,"Fal 10pb","rough","0-5cm",2,3.99599613399504,0.0778095037220844
3,"Fal 10pb","rough","0-5cm",3,3.60031960381143,0.0694287362086259
3,"Fal 10pb","rough","6-15cm",1,2.27944426163522,0.0337654591194969
3,"Fal 10pb","rough","6-15cm",2,2.08046873459119,0.0471194465408805
3,"Fal 10pb","rough","6-15cm",3,2.23598501241928,0.0521089418777943
4,"Red 15W","open","0-5cm",1,2.65475774981123,0.057433551472439
4,"Red 15W","open","0-5cm",2,2.67911835181452,0.0611084929435484
4,"Red 15W","open","0-5cm",3,2.61562921052632,0.0573591112214499
4,"Red 15W","open","6-15cm",1,1.75672904821384,0.0464089432925306
4,"Red 15W","open","6-15cm",2,1.54150376876877,0.0436999249249249
4,"Red 15W","open","6-15cm",3,1.55764242682012,0.0438320490367776
4,"Red 15W","smooth","0-5cm",1,4.14675847672065,0.072135020242915
4,"Red 15W","smooth","0-5cm",2,3.91270519395466,0.0638382871536524
4,"Red 15W","smooth","0-5cm",3,4.62495808463252,0.073942291512002
4,"Red 15W","smooth","6-15cm",1,2.02820625463535,0.0122834610630408
4,"Red 15W","smooth","6-15cm",2,2.00352080813089,0.0351379276152702
4,"Red 15W","smooth","6-15cm",3,1.9651574672709,0.0346067220543807
4,"Red 15W","rough","0-5cm",1,4.39023619167085,0.0784293276467637
4,"Red 15W","rough","0-5cm",2,3.85467601396857,0.0688035669743078
4,"Red 15W","rough","0-5cm",3,4.37066907773057,0.0773492626843289
4,"Red 15W","rough","6-15cm",1,3.36284086419753,0.0568828148148148
4,"Red 15W","rough","6-15cm",2,3.81564992439516,0.0605560987903226
4,"Red 15W","rough","6-15cm",3,3.868214095,0.05864215
5,"Bw 10w2","open","0-5cm",1,3.22439868315842,0.085486031984008
5,"Bw 10w2","open","0-5cm",2,3.28923150779896,0.0866322357019064
5,"Bw 10w2","open","0-5cm",3,3.49812866784185,0.0898687736086628
5,"Bw 10w2","open","6-15cm",1,2.0939548,0.057371875
5,"Bw 10w2","open","6-15cm",2,1.94062562484534,0.0560698589458055
5,"Bw 10w2","open","6-15cm",3,2.22067043715847,0.0598401639344262
5,"Bw 10w2","smooth","0-5cm",1,6.78108870561571,0.132098589775875
5,"Bw 10w2","smooth","0-5cm",2,7.64377660643564,0.147330569306931
5,"Bw 10w2","smooth","0-5cm",3,9.17558323259846,0.176471315333168
5,"Bw 10w2","smooth","6-15cm",1,2.49819125742574,0.0589898514851485
5,"Bw 10w2","smooth","6-15cm",2,2.67058179205199,0.058188527868033
5,"Bw 10w2","smooth","6-15cm",3,2.3154983814741,0.050804780876494
5,"Bw 10w2","rough","0-5cm",1,3.92263689912827,0.0891944458281445
5,"Bw 10w2","rough","0-5cm",2,4.08488778714959,0.0964956586454974
5,"Bw 10w2","rough","0-5cm",3,4.58103119089317,0.0999159369527146
5,"Bw 10w2","rough","6-15cm",1,2.26609441344956,0.056614097135741
5,"Bw 10w2","rough","6-15cm",2,2.06316877783276,0.0512491340920337
5,"Bw 10w2","rough","6-15cm",3,2.12640453059202,0.051750136239782
6,"Scol 10pb","open","0-5cm",1,3.43162218538056,0.0878422004521477
6,"Scol 10pb","open","0-5cm",2,3.97367815815816,0.100070945945946
6,"Scol 10pb","open","0-5cm",3,3.78288778197382,0.0969349949647533
6,"Scol 10pb","open","6-15cm",1,1.98977550907258,0.0553732106854839
6,"Scol 10pb","open","6-15cm",2,2.3129444380905,0.0624829686723023
6,"Scol 10pb","open","6-15cm",3,2.15424737434359,0.0587892223055764
6,"Scol 10pb","smooth","0-5cm",1,5.32268111441307,0.137008395245171
6,"Scol 10pb","smooth","0-5cm",2,5.94239754782609,0.14762149068323
6,"Scol 10pb","smooth","0-5cm",3,5.90447129008203,0.144673179219488
6,"Scol 10pb","smooth","6-15cm",1,2.73687379613357,0.0638251820236003
6,"Scol 10pb","smooth","6-15cm",2,2.72660435755595,0.0632422177520744
6,"Scol 10pb","smooth","6-15cm",3,2.64917683391003,0.0610337864557588
6,"Scol 10pb","rough","0-5cm",1,7.80206851962245,0.17073392945852
6,"Scol 10pb","rough","0-5cm",2,9.14976762799901,0.19592035617116
6,"Scol 10pb","rough","0-5cm",3,8.9469014425,0.193273075
6,"Scol 10pb","rough","6-15cm",1,3.33562903530582,0.0787577076081551
6,"Scol 10pb","rough","6-15cm",2,3.22622650441362,0.0770074401008828
6,"Scol 10pb","rough","6-15cm",3,3.48600548578492,0.0801335970333745
7,"Kt 30+","open","0-5cm",1,10.5970862228946,0.238627710539587
7,"Kt 30+","open","0-5cm",2,9.5077531937829,0.2130024066182
7,"Kt 30+","open","0-5cm",3,11.5406113271216,0.259128179299925
7,"Kt 30+","open","6-15cm",1,3.89769497382199,0.0691561705310397
7,"Kt 30+","open","6-15cm",2,4.53470620326223,0.0825394730238394
7,"Kt 30+","open","6-15cm",3,4.239920335,0.07526865
7,"Kt 30+","smooth","0-5cm",1,22.6490729524773,0.489604701718908
7,"Kt 30+","smooth","0-5cm",2,20.1139861812779,0.453622932144626
7,"Kt 30+","smooth","0-5cm",3,23.9341581593545,0.519964599092285
7,"Kt 30+","smooth","6-15cm",1,3.98833144381047,0.0839688910940214
7,"Kt 30+","smooth","6-15cm",2,4.58853585618977,0.106742920681987
7,"Kt 30+","smooth","6-15cm",3,4.58721457406945,0.0981828878341244
7,"Kt 30+","rough","0-5cm",1,10.8507702078693,0.232373323434793
7,"Kt 30+","rough","0-5cm",2,9.99376465267366,0.217425012493753
7,"Kt 30+","rough","0-5cm",3,10.9654009118087,0.221744818136522
7,"Kt 30+","rough","6-15cm",1,5.09084607738998,0.0792450177035913
7,"Kt 30+","rough","6-15cm",2,5.40883373171336,0.0832831886932804
7,"Kt 30+","rough","6-15cm",3,5.01139699070585,0.0780550866616428
8,"ING 2WPB","open","0-5cm",1,2.70729439798489,0.0507915113350126
8,"ING 2WPB","open","0-5cm",2,2.89277640506329,0.0546786075949367
8,"ING 2WPB","open","0-5cm",3,2.59595633052527,0.0519431615460852
8,"ING 2WPB","open","6-15cm",1,2.02886060845906,0.0417279248083107
8,"ING 2WPB","open","6-15cm",2,1.79110043219076,0.0344716343765524
8,"ING 2WPB","open","6-15cm",3,1.93705954350567,0.036416998738966
8,"ING 2WPB","smooth","0-5cm",1,5.68606869071645,0.117444071644803
8,"ING 2WPB","smooth","0-5cm",2,6.51844973913043,0.137760670807453
8,"ING 2WPB","smooth","0-5cm",3,6.12156924371859,0.130912286432161
8,"ING 2WPB","smooth","6-15cm",1,2.63004088316932,0.0379035579106737
8,"ING 2WPB","smooth","6-15cm",2,3.16551094506048,0.0501886844758065
8,"ING 2WPB","smooth","6-15cm",3,2.83379005244755,0.0370743006993007
8,"ING 2WPB","rough","0-5cm",1,4.82884796758105,0.0861705236907731
8,"ING 2WPB","rough","0-5cm",2,4.48042044080605,0.0830607052896725
8,"ING 2WPB","rough","0-5cm",3,4.82967330563948,0.104304506545821
8,"ING 2WPB","rough","6-15cm",1,2.74493244944388,0.0675973205257836
8,"ING 2WPB","rough","6-15cm",2,2.2819127433408,0.0795332337565347
8,"ING 2WPB","rough","6-15cm",3,2.3137314314567,0.0552202726584196
9,"Boo 20 W","open","0-5cm",1,4.6748972052512,0.136423251704115
9,"Boo 20 W","open","0-5cm",2,5.00042011817953,0.15311667085743
9,"Boo 20 W","open","0-5cm",3,5.79667550979407,0.177506906077348
9,"Boo 20 W","open","6-15cm",1,4.53503907973922,0.125347291875627
9,"Boo 20 W","open","6-15cm",2,4.07747678917308,0.115097467097095
9,"Boo 20 W","open","6-15cm",3,4.41546905074476,0.116704746276193
9,"Boo 20 W","smooth","0-5cm",1,4.09278444248234,0.128950554994955
9,"Boo 20 W","smooth","0-5cm",2,3.75961067421384,0.11982641509434
9,"Boo 20 W","smooth","0-5cm",3,3.38871000988631,0.110782254078102
9,"Boo 20 W","smooth","6-15cm",1,4.00831856710394,0.0845787083753784
9,"Boo 20 W","smooth","6-15cm",2,4.08743832043923,0.0828013476416272
9,"Boo 20 W","smooth","6-15cm",3,3.42700018040591,0.0657203708343774
9,"Boo 20 W","rough","0-5cm",1,6.61730311239919,0.171804435483871
9,"Boo 20 W","rough","0-5cm",2,5.53565412934072,0.138556240563664
9,"Boo 20 W","rough","0-5cm",3,4.86877354846811,0.117015946760422
9,"Boo 20 W","rough","6-15cm",1,3.70297637104743,0.077050395256917
9,"Boo 20 W","rough","6-15cm",2,3.90559153923541,0.0798635563380282
9,"Boo 20 W","rough","6-15cm",3,3.85260506354348,0.0814515325193122
10,"Red 5W","open","0-5cm",1,2.53938924880262,0.0671773380388203
10,"Red 5W","open","0-5cm",2,3.12099021238938,0.0853931731984829
10,"Red 5W","open","0-5cm",3,2.60611606818182,0.0617310606060606
10,"Red 5W","open","6-15cm",1,1.90475652491193,0.0539305485656769
10,"Red 5W","open","6-15cm",2,2.10237306940616,0.0570395890754197
10,"Red 5W","open","6-15cm",3,1.69694052950076,0.0420215582450832
10,"Red 5W","smooth","0-5cm",1,4.24968742907356,0.0793886517700226
